sim,obs
0.3104,0.2658
0.3101,0.2657
0.3092,0.2656
0.299,0.2615
0.2908,0.2567
0.2902,0.2537
0.288,0.2495
0.2865,0.246
0.2847,0.2429
0.2799,0.2391
0.2757,0.2353
0.2756,0.2334
0.2789,0.2322
0.2821,0.232
0.2877,0.2331
0.3042,0.2355
0.3018,0.2363
0.2888,0.2337
0.2767,0.2306
0.2725,0.2292
0.2715,0.2281
0.2695,0.2266
0.2637,0.2236
0.2612,0.2218
0.2603,0.2205
0.2622,0.2206
0.2629,0.2202
0.2633,0.2205
0.2589,0.2187
0.2542,0.2168
0.2471,0.213
0.2424,0.2096
0.2415,0.2074
0.2424,0.2061
0.2402,0.2037
0.2377,0.2015
0.2343,0.199
0.2341,0.1977
0.2349,0.1971
0.2285,0.193
0.2275,0.1914
0.2289,0.1902
1.543,0.5504
2.166,1.045
1.63,0.9973
1.091,0.8477
0.7114,0.7087
0.4799,0.5883
0.3512,0.4856
0.2872,0.4017
0.2493,0.332
0.2262,0.2784
0.2202,0.2429
0.2153,0.2173
0.2104,0.1998
0.2076,0.1886
0.203,0.1801
0.5143,0.2828
0.6454,0.3273
0.5444,0.3044
0.4208,0.2782
0.4302,0.2654
0.3682,0.2428
0.3156,0.2299
10.2,6.625
3.209,2.359
2.081,1.931
1.411,1.494
0.9272,1.136
0.6273,0.8703
0.4613,0.6776
0.3777,0.5373
0.341,0.4363
0.3196,0.3628
0.3028,0.3099
0.2881,0.272
0.282,0.2474
0.2791,0.2316
0.2727,0.2194
0.2696,0.212
0.2636,0.2046
0.2549,0.1976
0.251,0.1923
0.2475,0.1876
0.2469,0.185
0.2454,0.1824
0.2405,0.1793
0.2368,0.1765
0.2348,0.1739
0.2292,0.1703
0.2288,0.1681
0.2242,0.1648
0.2151,0.1603
0.2203,0.16
0.2191,0.1592
0.2081,0.1557
0.2315,0.1789
0.8239,0.4045
0.7884,0.3965
0.6128,0.3594
0.4493,0.3211
0.3333,0.2836
0.2681,0.251
0.3269,0.2354
0.3062,0.2092
0.2659,0.1869
2.393,1.246
2.461,1.755
1.827,1.61
1.213,1.29
0.7811,0.9964
1.273,1.35
1.082,1.198
0.7823,0.9649
0.5441,0.7641
0.3906,0.6033
0.3022,0.4756
0.2629,0.3785
0.2377,0.3032
0.2206,0.2478
0.2118,0.2094
0.2064,0.1823
0.5439,0.476
2.699,3.366
1.743,1.796
1.206,1.5
0.7976,1.194
0.531,0.9306
0.3745,0.7248
0.296,0.5681
0.9698,0.8381
0.9046,0.7551
0.6732,0.629
0.4763,0.5219
0.3425,0.4312
1.127,0.9575
1.08,0.9585
0.8019,0.819
0.554,0.6796
0.3892,0.5584
0.2938,0.4543
0.2417,0.3678
0.2124,0.2984
0.1998,0.2476
1.648,1.195
1.385,1.217
0.9856,1.029
0.6604,0.8326
0.4406,0.6663
0.3155,0.5318
0.2444,0.4206
0.2072,0.3328
0.1883,0.2668
0.1769,0.2183
0.1683,0.1837
0.1763,0.1668
0.1766,0.1563
0.1741,0.1493
0.1758,0.1456
0.1736,0.1426
0.1698,0.1399
0.1637,0.1365
0.1671,0.1359
0.1713,0.1359
0.1682,0.1345
0.1655,0.1332
0.1777,0.3633
0.1767,0.3896
0.1657,0.36
0.157,0.3202
0.1516,0.2791
0.1525,0.2419
0.1541,0.2085
0.1549,0.1822
0.1554,0.1639
0.7489,0.3965
0.7098,0.3809
0.522,0.33
0.3695,0.2881
0.2632,0.2494
0.2017,0.2152
0.173,0.1875
4.177,9.334
1.928,5.634
1.411,2.62
12.16,11.4
4.61,7.746
2.44,3.5
1.658,2.236
1.071,1.689
0.7094,1.28
0.5081,0.9794
0.8953,1.128
0.8179,0.9943
0.6386,0.8329
0.4931,0.7036
12.5,10.45
6.908,6.158
2.963,2.95
2.099,2.079
1.382,1.628
0.9211,1.269
0.6486,0.9941
0.507,0.8008
0.441,0.667
0.4078,0.5733
0.3835,0.5049
0.3708,0.4584
0.3514,0.4214
1.131,1.589
1.932,1.61
1.554,1.35
1.116,1.095
0.7935,0.8933
0.5808,0.7386
0.4572,0.6215
0.3882,0.5317
0.3527,0.4649
0.33,0.414
0.3195,0.3787
0.3143,0.355
0.3097,0.3385
0.3028,0.3257
0.2961,0.3163
0.2933,0.3099
0.3233,0.5066
0.3249,0.5272
0.3123,0.5007
0.3009,0.467
0.2981,0.4348
0.3,0.4052
0.2952,0.3757
0.2911,0.351
0.2858,0.3309
0.2815,0.3152
0.2762,0.303
0.2728,0.2939
1.817,0.9214
1.499,0.9213
1.453,0.9388
1.101,0.8227
0.7734,0.7043
1.52,0.9756
1.28,0.8823
0.9655,0.8198
0.6881,0.7297
0.5056,0.6336
0.3934,0.5463
0.3359,0.4754
0.3071,0.4188
0.294,0.3749
0.2834,0.3414
0.2779,0.3183
0.2715,0.3016
0.267,0.2898
0.2594,0.2795
0.2581,0.2737
0.26,0.2704
0.2616,0.2688
3.554,1.799
1.862,1.627
1.373,1.323
0.9209,1.044
0.6197,0.8301
0.4419,0.6692
0.3454,0.5464
0.2956,0.4527
0.2765,0.386
0.2708,0.3401
0.2709,0.3107
0.2709,0.2924
0.2645,0.2784
0.2624,0.2708
0.2631,0.2669
0.4093,0.4789
0.7645,0.528
0.6931,0.4807
0.8344,0.5835
0.6943,0.5418
0.6479,0.5589
0.6791,0.5988
0.5611,0.5394
0.4435,0.4728
0.3639,0.4158
0.3148,0.3672
0.2858,0.3273
0.2706,0.2964
0.2637,0.2738
0.2761,0.2626
0.2738,0.2518
0.2689,0.245
0.2611,0.2393
0.256,0.2355
0.2519,0.2322
0.2503,0.2302
0.2933,0.2547
0.285,0.2517
5.687,3.869
2.466,1.993
1.793,1.697
1.225,1.359
0.8254,1.064
0.5765,0.8384
0.4397,0.6719
0.3619,0.5448
0.3229,0.4512
0.3038,0.3838
0.2937,0.3366
0.2895,0.3054
0.2797,0.2815
0.3039,0.279
0.2972,0.2667
0.2862,0.2568
0.3363,0.2735
0.3633,0.2886
0.3391,0.2812
0.3199,0.2846
0.3018,0.2787
0.2784,0.2663
0.2662,0.2569
0.26,0.249
0.2826,0.2459
0.2818,0.2409
0.2666,0.2331
0.2583,0.2292
0.2488,0.223
0.2421,0.2176
0.238,0.2137
0.2387,0.2122
0.2423,0.2129
0.2559,0.2157
0.2532,0.215
0.2469,0.214
0.2432,0.2142
0.2329,0.2091
0.2282,0.206
0.2278,0.2043
0.2307,0.2043
0.2294,0.2028
0.2236,0.1992
0.2233,0.1983
0.2262,0.199
0.2621,0.2035
0.2578,0.2031
0.2452,0.2035
0.2356,0.2043
0.228,0.2044
0.2243,0.2041
0.2198,0.2018
0.2184,0.1998
0.2168,0.1985
0.2173,0.1981
0.2179,0.1976
0.2155,0.196
3.651,1.64
3.363,2.321
2.054,1.903
1.398,1.476
0.9196,1.129
0.6239,0.873
0.4519,0.6834
0.3599,0.5435
0.3107,0.4384
0.2878,0.3632
0.2786,0.3114
0.2747,0.277
0.2705,0.254
0.2635,0.2376
0.2584,0.2268
0.2569,0.2197
0.2533,0.2137
0.2515,0.2101
0.2476,0.206
0.2401,0.2003
0.2341,0.1948
0.2308,0.1909
0.2286,0.187
0.228,0.1844
0.2255,0.1814
0.2274,0.1804
0.2312,0.1808
0.2307,0.1812
0.231,0.1827
0.2313,0.1844
0.2289,0.1846
0.2284,0.1855
0.2223,0.1836
0.2191,0.183
0.2175,0.1831
0.2171,0.1836
0.2171,0.1842
0.2114,0.1819
0.2103,0.1809
0.2124,0.3037
0.213,0.3162
0.2143,0.3005
0.2134,0.2783
0.211,0.2547
0.6792,0.2773
0.6492,0.242
0.507,0.2139
0.3753,0.1922
0.2922,0.1798
0.2459,0.1726
0.2159,0.1649
0.1976,0.1593
0.1888,0.1555
0.185,0.1525
0.1863,0.151
0.1857,0.1497
0.1848,0.1489
0.1821,0.148
0.2644,0.1545
0.2543,0.1492
0.3129,0.1567
0.3545,0.1612
0.3097,0.1557
0.4142,0.23
0.7383,0.262
0.6411,0.2322
0.472,0.2061
0.3397,0.1871
0.2553,0.1719
0.2071,0.161
0.2483,0.1958
0.2342,0.1898
0.208,0.1774
0.1863,0.1662
0.1736,0.1625
0.159,0.1542
0.1476,0.1446
0.1424,0.1356
0.1383,0.1268
0.1352,0.1193
0.1359,0.1137
0.1382,0.11
0.1359,0.1065
0.1345,0.1042
0.1346,0.103
0.1331,0.1016
0.1316,0.1003
0.1271,0.09798
0.1263,0.09654
0.1318,0.0974
0.1293,0.09682
0.1249,0.0952
0.1208,0.09336
0.1237,0.09321
0.1311,0.0949
0.1364,0.09701
0.1443,0.1006
0.1457,0.1032
0.1386,0.1033
0.1296,0.102
0.2525,0.1365
0.251,0.1438
0.2138,0.1417
0.1711,0.1344
0.1397,0.1255
1.001,0.7297
0.9698,0.7791
0.703,0.6865
0.4562,0.5784
0.2997,0.4781
0.1961,0.3808
0.2017,0.3046
0.1622,0.2298
0.1306,0.1779
0.1133,0.1445
0.1035,0.1189
0.1005,0.1002
0.3497,0.1472
0.5032,0.2518
0.4131,0.2406
0.3005,0.2147
0.2123,0.1883
0.1539,0.1651
0.1163,0.1457
0.0961,0.1269
0.0891,0.11
0.077,0.09292
0.0675,0.078
0.0645,0.06706
0.0632,0.05912
0.0622,0.05306
0.064,0.04934
0.0676,0.04742
0.0671,0.04602
0.0683,0.04553
0.063,0.04408
0.053,0.04161
0.0503,0.03983
0.0571,0.0398
0.1496,0.05704
0.2121,0.1028
0.1954,0.1199
0.165,0.1229
0.1351,0.18
0.1025,0.1776
0.0814,0.1607
0.0737,0.1469
0.0665,0.1302
0.0606,0.1122
0.0549,0.09423
0.0514,0.07838
0.0487,0.06557
0.0491,0.05594
0.057,0.06066
0.0977,0.2224
0.0884,0.2382
0.0726,0.2158
0.0617,0.1877
0.0534,0.1616
0.0498,0.1399
0.0452,0.1173
0.0474,0.09729
0.0491,0.09558
0.0452,0.08728
0.0382,0.0751
0.0347,0.06403
0.0347,0.05513
0.3234,0.145
0.4655,0.317
0.3782,0.3141
0.2576,0.2754
0.1671,0.238
0.1085,0.1981
0.0742,0.1641
0.0622,0.1383
0.0552,0.1138
0.047,0.09117
0.0412,0.0731
0.0358,0.05905
0.0308,0.04796
0.03,0.03968
0.0322,0.03362
0.0292,0.02842
0.0293,0.02459
0.028,0.02153
0.0379,0.02309
0.0517,0.02595
1.048,0.3627
1.054,0.3747
0.7485,0.3228
0.4624,0.2709
0.2707,0.2239
1.302,0.3243
2.018,3.547
2.992,2.38
10.24,10.6
3.768,3.681
2.188,2.215
1.532,2.068
1.581,2.463
1.376,5.102
13.35,20.21
3.593,11.6
2.241,5.043
1.463,3.011
3.12,10.31
13.05,11.79
6.059,10.25
2.827,4.643
1.993,2.526
1.315,1.94
0.8949,1.525
0.6631,1.215
6.781,12.35
8.695,10.8
3.604,8.38
2.247,3.868
1.585,2.371
1.64,5.325
1.336,2.471
1.022,1.974
3.873,4.266
2.142,2.291
1.623,1.887
1.182,1.548
0.8848,1.273
0.7053,1.068
0.6111,0.9519
0.5521,0.8496
0.526,0.7766
1.539,1.458
1.905,2.007
1.545,1.789
1.147,1.509
0.865,1.258
0.7273,1.089
9.67,10.86
4.04,5.021
4.482,3.898
2.427,2.344
1.829,1.979
8.011,10.13
11.73,9.886
4.747,4.266
6.759,5.093
11.38,5.632
4.675,2.786
2.65,2.199
1.976,1.81
2.93,2.487
2.129,2.037
1.664,1.739
1.334,1.496
1.122,1.305
0.9984,1.164
0.9316,1.066
0.8937,1.001
0.8779,0.9598
0.8748,0.938
0.865,0.9195
0.8436,0.8999
0.831,0.8857
0.8158,0.8707
1.195,1.266
1.169,1.294
1.044,1.21
0.9279,1.106
0.8434,1.013
0.7952,0.9408
0.7619,0.8822
0.745,0.8406
1.375,3.584
1.316,1.985
1.121,1.74
0.9533,1.505
0.8487,1.298
0.7916,1.136
0.7563,1.016
0.7346,0.9301
0.7321,0.8798
0.7156,0.8335
0.7084,0.7995
0.7117,0.7782
1.049,0.933
1.082,0.9536
0.9848,0.9216
0.8785,0.8799
0.8034,0.8415
0.7633,0.8105
0.7376,0.7832
0.7178,0.7603
0.7015,0.7417
0.6983,0.7309
0.7441,0.8068
0.745,0.811
0.727,0.7938
0.7047,0.77
0.6885,0.7483
0.6806,0.731
0.672,0.715
0.6711,0.7043
0.6646,0.6937
0.6582,0.6849
0.6516,0.6773
0.6405,0.6678
0.6347,0.66
0.6352,0.656
0.6347,0.6525
0.6357,0.6509
0.6319,0.6478
0.6268,0.6446
0.6179,0.6387
0.6103,0.6333
0.6091,0.63
0.6134,0.6295
0.6173,0.6299
0.6466,0.6317
0.6381,0.627
0.6256,0.6241
0.6137,0.6211
0.6057,0.6184
0.5912,0.611
0.5848,0.6066
0.6534,0.6919
0.6445,0.6938
0.6229,0.6809
0.6064,0.6738
0.5857,0.6573
0.5699,0.6398
0.5621,0.6257
0.5633,0.6168
0.5563,0.6057
0.5504,0.5973
0.55,0.5934
0.5533,0.5927
0.5541,0.5918
0.5488,0.589
0.5507,0.5885
1.35,1.334
1.267,1.384
1.026,1.243
0.8206,1.08
0.6785,0.9337
0.5901,0.8172
0.5475,0.7343
0.5306,0.676
0.5547,0.6394
0.5454,0.6067
0.529,0.5824
0.5453,0.5706
0.5378,0.5603
0.5218,0.5507
0.5127,0.5457
0.6673,0.5887
0.6451,0.5788
0.5913,0.5658
